time, Quad.IMU.AX
0.005000,0.552104
0.010000,0.073950
0.015000,0.523507
0.020000,-0.426132
0.025000,0.917109
0.030000,-0.295104
0.035000,0.184557
0.040000,-0.566909
0.045000,0.313276
0.050000,-1.081553
0.055000,0.006145
0.060000,0.417405
0.065000,-0.790848
0.070000,0.987255
0.075000,0.615346
0.080000,0.198673
0.085000,0.523889
0.090000,0.800422
0.095000,0.003965
0.100000,0.882318
0.105000,1.107366
0.110000,0.372476
0.115000,0.113327
0.120000,-0.084344
0.125000,-0.040263
0.130000,-0.948417
0.135000,-0.011520
0.140000,0.118659
0.145000,0.456632
0.150000,0.286810
0.155000,-0.587041
0.160000,0.454354
0.165000,-0.072881
0.170000,0.309625
0.175000,0.868333
0.180000,0.041985
0.185000,-0.673895
0.190000,-0.707898
0.195000,-0.053840
0.200000,0.663943
0.205000,-0.695836
0.210000,-0.532063
0.215000,0.120727
0.220000,-0.781324
0.225000,-0.225934
0.230000,0.038196
0.235000,-0.343638
0.240000,-0.296303
0.245000,-0.582451
0.250000,-0.126985
0.255000,-0.732446
0.260000,0.151463
0.265000,-0.308095
0.270000,-0.445241
0.275000,-0.539147
0.280000,0.059965
0.285000,0.226509
0.290000,-0.543488
0.295000,-0.304822
0.300000,-0.049839
0.305000,-0.329002
0.310000,0.584799
0.314999,-0.033509
0.319999,0.518798
0.324999,0.508816
0.329999,0.583913
0.334999,-0.121833
0.339999,-0.280389
0.344999,-0.055528
0.349999,-0.637523
0.354999,-0.221029
0.359999,0.099369
0.364999,0.469021
0.369999,1.117932
0.374999,0.212293
0.379999,-0.234126
0.384999,-0.691247
0.389999,0.219060
0.394998,0.102865
0.399998,-0.094817
0.404998,-0.903831
0.409998,0.158870
0.414998,-0.305141
0.419998,0.359288
0.424998,0.019560
0.429998,-0.620898
0.434998,-0.399006
0.439998,-0.287508
0.444998,-0.016152
0.449998,-1.054839
0.454998,-1.278392
0.459998,-0.021431
0.464998,0.301757
0.469997,-0.619896
0.474997,-0.561109
0.479997,0.833306
0.484997,0.139079
0.489997,-0.673236
0.494997,-0.171996
0.499997,-0.320942
0.504997,0.285423
0.509997,-0.416178
0.514997,0.204425
0.519997,-0.108881
0.524997,0.017213
0.529997,-0.620478
0.534997,0.119017
0.539997,0.418425
0.544997,0.234172
0.549996,-0.573014
0.554996,0.104272
0.559996,-0.445130
0.564996,0.440449
0.569996,-0.829729
0.574996,-0.000582
0.579996,-0.030516
0.584996,-0.014683
0.589996,0.408561
0.594996,0.479398
0.599996,-0.928518
0.604996,0.101968
0.609996,-0.258988
0.614996,0.147094
0.619996,0.400929
0.624996,-0.216157
0.629995,0.551012
0.634995,0.141981
0.639995,-1.012067
0.644995,-0.046653
0.649995,0.365931
0.654995,0.685571
0.659995,-0.014766
0.664995,0.647552
0.669995,0.125723
0.674995,0.263910
0.679995,-0.529204
0.684995,0.133125
0.689995,0.103225
0.694995,0.668425
0.699995,0.668444
0.704994,-0.131393
0.709994,0.724941
0.714994,-0.153416
