time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,0.000001,-0.000003,0.000812
0.010000,-0.000000,0.000014,-0.000033,0.001651
0.015000,-0.000000,0.000022,-0.000113,0.002429
0.020000,-0.000001,-0.000031,-0.000262,-0.007517
0.025000,-0.000003,-0.000073,-0.000470,-0.006506
0.030000,-0.000006,-0.000104,-0.000706,-0.006191
0.035000,-0.000011,-0.000138,-0.000933,-0.005159
0.040000,-0.000016,-0.000139,-0.001118,-0.003594
0.045000,-0.000022,-0.000158,-0.001239,-0.003527
0.050000,-0.000028,-0.000154,-0.001281,0.000123
0.055000,-0.000035,-0.000157,-0.001238,-0.002722
0.060000,-0.000040,-0.000376,-0.001121,-0.011110
0.065000,-0.000046,-0.000438,-0.000947,-0.012785
0.070000,-0.000050,-0.000407,-0.000719,-0.009086
0.075000,-0.000052,-0.000453,-0.000429,-0.006382
0.080000,-0.000053,-0.000121,-0.000072,0.006456
0.085000,-0.000053,-0.000081,0.000343,0.006734
0.090000,-0.000050,0.000304,0.000782,0.016945
0.095000,-0.000044,0.000405,0.001198,0.015427
0.100000,-0.000037,0.000629,0.001547,0.019563
0.105000,-0.000029,0.003374,0.001806,0.118105
0.110000,-0.000019,0.003853,0.001938,0.115090
0.115000,-0.000010,0.004536,0.001860,0.113546
0.120000,-0.000001,0.004989,0.001471,0.112319
0.125000,0.000004,0.005667,0.000672,0.113968
0.130000,0.000003,0.006139,-0.000596,0.114602
0.135000,-0.000005,0.006828,-0.002346,0.114155
0.140000,-0.000023,0.007290,-0.004586,0.111531
0.145000,-0.000054,0.007952,-0.007298,0.107372
0.150000,-0.000099,0.008288,-0.010393,0.101627
0.155000,-0.000162,0.008886,-0.013869,0.094344
0.160000,-0.000242,0.008930,-0.017682,0.081540
0.165000,-0.000343,0.009413,-0.021747,0.076673
0.170000,-0.000464,0.009698,-0.026020,0.068597
0.175000,-0.000608,0.010095,-0.030448,0.061964
0.180000,-0.000774,0.010431,-0.035039,0.060789
0.185000,-0.000963,0.010795,-0.039697,0.058021
0.190000,-0.001175,0.011284,-0.044323,0.056590
0.195000,-0.001411,0.011613,-0.049031,0.051658
0.200000,-0.001670,0.011928,-0.053828,0.050815
0.205000,-0.001954,0.000712,-0.058558,-0.003055
0.210000,-0.002260,0.000687,-0.063163,-0.009238
0.215000,-0.002590,0.000622,-0.067612,-0.012583
0.220000,-0.002941,0.000568,-0.071928,-0.014653
0.225000,-0.003313,0.000466,-0.076003,-0.020226
0.230000,-0.003704,0.000374,-0.079825,-0.026970
0.235000,-0.004114,0.000212,-0.083425,-0.028265
0.240000,-0.004541,0.000126,-0.086718,-0.029820
0.245000,-0.004984,-0.000052,-0.089773,-0.030586
0.250000,-0.005442,-0.000351,-0.092613,-0.041320
0.255000,-0.005913,-0.000610,-0.095221,-0.045388
0.260000,-0.006396,-0.001035,-0.097613,-0.055326
0.265000,-0.006891,-0.001376,-0.099742,-0.060786
0.270000,-0.007395,-0.001549,-0.101580,-0.059213
0.275000,-0.007908,-0.001914,-0.103141,-0.064094
0.280000,-0.008427,-0.002145,-0.104422,-0.067479
0.285000,-0.008953,-0.002560,-0.105450,-0.071364
0.290000,-0.009482,-0.002851,-0.106233,-0.075255
0.295000,-0.010015,-0.003307,-0.106780,-0.076106
0.300000,-0.010550,-0.003716,-0.107080,-0.077639
0.305000,-0.011086,-0.014086,-0.107111,-0.099293
0.310000,-0.011621,-0.014571,-0.106839,-0.096955
0.314999,-0.012153,-0.015146,-0.106235,-0.097440
0.319999,-0.012682,-0.015575,-0.105278,-0.095019
0.324999,-0.013204,-0.016146,-0.103973,-0.092334
0.329999,-0.013719,-0.016492,-0.102330,-0.096573
0.334999,-0.014225,-0.017062,-0.100351,-0.092881
0.339999,-0.014720,-0.017491,-0.098061,-0.102985
0.344999,-0.015203,-0.018106,-0.095462,-0.102108
0.349999,-0.015671,-0.018561,-0.092561,-0.105672
0.354999,-0.016125,-0.019189,-0.089411,-0.102534
0.359999,-0.016562,-0.019639,-0.085940,-0.103182
0.364999,-0.016980,-0.020256,-0.082180,-0.104471
0.369999,-0.017379,-0.020543,-0.078080,-0.100198
0.374999,-0.017756,-0.021137,-0.073615,-0.095106
0.379999,-0.018110,-0.021513,-0.068751,-0.092033
0.384999,-0.018438,-0.022057,-0.063524,-0.087078
0.389999,-0.018739,-0.022455,-0.057921,-0.086552
0.394998,-0.019011,-0.022966,-0.052066,-0.081878
0.399998,-0.019253,-0.023005,-0.046111,-0.069218
0.404998,-0.019466,-0.015516,-0.039949,0.005516
0.409998,-0.019647,-0.015530,-0.033707,0.011361
0.414998,-0.019797,-0.015452,-0.027529,0.016783
0.419998,-0.019916,-0.015440,-0.021405,0.024128
0.424998,-0.020005,-0.015282,-0.015350,0.031481
0.429998,-0.020064,-0.015137,-0.009508,0.032966
0.434998,-0.020094,-0.014936,-0.003886,0.034814
0.439998,-0.020098,-0.014792,0.001463,0.034140
0.444998,-0.020075,-0.014572,0.006489,0.040776
0.449998,-0.020028,-0.014515,0.011222,0.031517
0.454998,-0.019959,-0.014311,0.015613,0.039887
0.459998,-0.019869,-0.014144,0.019644,0.045031
0.464998,-0.019759,-0.013864,0.023325,0.050898
0.469997,-0.019632,-0.013297,0.026708,0.068901
0.474997,-0.019489,-0.012885,0.029786,0.072692
0.479997,-0.019332,-0.012331,0.032507,0.085383
0.484997,-0.019162,-0.011822,0.034923,0.086334
0.489997,-0.018981,-0.011626,0.037029,0.085096
0.494997,-0.018791,-0.011124,0.038780,0.083354
0.499997,-0.018592,-0.010649,0.040169,0.084883
0.504997,-0.018388,-0.008151,0.041263,0.114456
0.509997,-0.018179,-0.007763,0.042045,0.115652
0.514997,-0.017968,-0.007068,0.042486,0.115633
0.519997,-0.017755,-0.006625,0.042571,0.115990
