time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000017,0.300030
0.010000,0.000037,0.300057
0.015000,0.000072,0.300105
0.020000,0.000092,0.300143
0.025000,0.000147,0.300210
0.030000,0.000173,0.300260
0.035000,0.000206,0.300344
0.040000,0.000219,0.300407
0.045000,0.000249,0.300509
0.050000,0.000266,0.300583
0.055000,0.000299,0.300704
0.060000,0.000452,0.300790
0.065000,0.000523,0.300928
0.070000,0.000521,0.301027
0.075000,0.000621,0.301183
0.080000,0.000563,0.301293
0.085000,0.000707,0.301468
0.090000,0.000896,0.301590
0.095000,0.001120,0.301782
0.100000,0.001345,0.301916
0.105000,0.005285,0.301283
0.110000,0.005597,0.301364
0.115000,0.006083,0.301490
0.120000,0.006432,0.301577
0.125000,0.006968,0.301712
0.130000,0.007350,0.301805
0.135000,0.007940,0.301949
0.140000,0.008351,0.302048
0.145000,0.008977,0.302201
0.150000,0.009321,0.302306
0.155000,0.009934,0.302468
0.160000,0.010038,0.302579
0.165000,0.010613,0.302750
0.170000,0.010981,0.302867
0.175000,0.011517,0.303047
0.180000,0.011962,0.303169
0.185000,0.012547,0.303358
0.190000,0.013187,0.303487
0.195000,0.013793,0.303684
0.200000,0.014313,0.303819
0.205000,0.021915,0.302969
0.210000,0.022401,0.303068
0.215000,0.023143,0.303219
0.220000,0.023649,0.303322
0.225000,0.024431,0.303479
0.230000,0.024970,0.303585
0.235000,0.025773,0.303749
0.240000,0.026328,0.303859
0.245000,0.027146,0.304028
0.250000,0.027648,0.304143
0.255000,0.028477,0.304318
0.260000,0.028989,0.304437
0.265000,0.029757,0.304618
0.270000,0.030281,0.304740
0.275000,0.031025,0.304927
0.280000,0.031547,0.305054
0.285000,0.032325,0.305247
0.290000,0.032838,0.305377
0.295000,0.033647,0.305576
0.300000,0.034154,0.305711
0.305000,0.035365,0.304754
0.310000,0.035906,0.304861
0.314999,0.036712,0.305024
0.319999,0.037258,0.305135
0.324999,0.038072,0.305302
0.329999,0.038618,0.305415
0.334999,0.039425,0.305587
0.339999,0.039967,0.305704
0.344999,0.040755,0.305880
0.349999,0.041272,0.305999
0.354999,0.041995,0.306180
0.359999,0.042468,0.306302
0.364999,0.043190,0.306488
0.369999,0.043648,0.306613
0.374999,0.044329,0.306803
0.379999,0.044787,0.306931
0.384999,0.045432,0.307126
0.389999,0.045859,0.307257
0.394998,0.046478,0.307456
0.399998,0.046881,0.307590
0.404998,0.061953,0.306572
0.409998,0.062496,0.306684
0.414998,0.063314,0.306854
0.419998,0.063858,0.306968
0.424998,0.064661,0.307142
0.429998,0.065183,0.307258
0.434998,0.065942,0.307435
0.439998,0.066445,0.307554
0.444998,0.067193,0.307735
0.449998,0.067674,0.307856
0.454998,0.068400,0.308041
0.459998,0.068889,0.308165
0.464998,0.069634,0.308352
0.469997,0.070142,0.308479
0.474997,0.070884,0.308670
0.479997,0.071449,0.308799
0.484997,0.072282,0.308994
0.489997,0.072812,0.309126
0.494997,0.073627,0.309325
0.499997,0.074188,0.309458
0.504997,0.037890,0.308402
0.509997,0.038098,0.308516
0.514997,0.038422,0.308690
0.519997,0.038609,0.308807
0.524997,0.038910,0.308983
0.529997,0.039115,0.309102
0.534997,0.039415,0.309282
0.539997,0.039623,0.309403
0.544997,0.039970,0.309586
0.549996,0.040199,0.309709
0.554996,0.040543,0.309895
0.559996,0.040812,0.310020
0.564996,0.041147,0.310209
0.569996,0.041287,0.310336
0.574996,0.041524,0.310528
0.579996,0.041678,0.310657
0.584996,0.041932,0.310852
0.589996,0.042035,0.310984
0.594996,0.042297,0.311182
0.599996,0.042391,0.311315
0.604996,0.044799,0.310232
0.609996,0.045086,0.310349
0.614996,0.045465,0.310525
0.619996,0.045715,0.310643
0.624996,0.046129,0.310822
0.629995,0.046432,0.310942
0.634995,0.046835,0.311123
0.639995,0.047110,0.311245
0.644995,0.047510,0.311430
0.649995,0.047793,0.311553
0.654995,0.048191,0.311740
0.659995,0.048459,0.311866
0.664995,0.048863,0.312055
0.669995,0.049086,0.312183
0.674995,0.049479,0.312375
0.679995,0.049561,0.312504
0.684995,0.049924,0.312699
0.689995,0.050330,0.312830
0.694995,0.050708,0.313028
0.699995,0.050716,0.313161
0.704994,0.044554,0.312060
0.709994,0.044675,0.312177
0.714994,0.045017,0.312355
0.719994,0.045275,0.312474
0.724994,0.045602,0.312654
0.729994,0.045829,0.312775
0.734994,0.046106,0.312958
0.739994,0.046277,0.313080
0.744994,0.046567,0.313265
0.749994,0.046764,0.313389
0.754994,0.047057,0.313576
0.759994,0.047253,0.313702
0.764994,0.047521,0.313892
0.769994,0.047772,0.314020
0.774994,0.048093,0.314212
0.779994,0.048345,0.314341
0.784993,0.048666,0.314536
0.789993,0.048804,0.314666
0.794993,0.049113,0.314864
0.799993,0.049183,0.314996
0.804993,0.068544,0.313881
0.809993,0.068713,0.314000
0.814993,0.069290,0.314178
0.819993,0.069412,0.314298
0.824993,0.069996,0.314479
0.829993,0.070431,0.314600
0.834993,0.070977,0.314783
0.839993,0.071309,0.314906
0.844993,0.071819,0.315091
0.849993,0.072175,0.315216
0.854993,0.072721,0.315403
0.859993,0.073043,0.315529
0.864992,0.073561,0.315719
0.869992,0.073882,0.315846
0.874992,0.074398,0.316038
0.879992,0.074757,0.316167
0.884992,0.075246,0.316361
0.889992,0.075522,0.316492
0.894992,0.076000,0.316688
0.899992,0.076453,0.316820
0.904992,0.080034,0.315696
0.909992,0.080465,0.315815
0.914992,0.080989,0.315994
0.919992,0.081335,0.316114
0.924992,0.081886,0.316295
0.929992,0.082259,0.316417
0.934992,0.082776,0.316600
0.939991,0.083096,0.316723
0.944991,0.083627,0.316908
0.949991,0.083969,0.317033
0.954991,0.084434,0.317220
0.959991,0.084677,0.317346
0.964991,0.085093,0.317535
0.969991,0.085371,0.317662
0.974991,0.085768,0.317854
0.979991,0.086051,0.317983
0.984991,0.086434,0.318176
0.989991,0.086599,0.318306
0.994991,0.086941,0.318502
0.999991,0.087327,0.318634
1.004991,0.105756,0.317503
1.009991,0.106153,0.317622
1.014991,0.106710,0.317801
1.019992,0.107026,0.317922
1.024992,0.107581,0.318103
1.029992,0.107923,0.318224
1.034992,0.108419,0.318408
1.039993,0.108731,0.318530
1.044993,0.109260,0.318716
1.049993,0.109614,0.318840
1.054993,0.110140,0.319027
1.059994,0.110501,0.319153
1.064994,0.111032,0.319342
1.069994,0.111323,0.319469
1.074994,0.111822,0.319660
1.079994,0.112189,0.319788
1.084995,0.112677,0.319981
1.089995,0.112952,0.320111
1.094995,0.113392,0.320306
1.099995,0.113642,0.320437
1.104996,0.108554,0.319302
1.109996,0.108615,0.319421
1.114996,0.108912,0.319600
1.119996,0.109134,0.319720
1.124997,0.109480,0.319901
1.129997,0.109727,0.320023
1.134997,0.110141,0.320206
1.139997,0.110425,0.320329
1.144997,0.110814,0.320513
1.149998,0.111050,0.320637
1.154998,0.111400,0.320824
1.159998,0.111598,0.320949
1.164998,0.111961,0.321138
1.169999,0.112187,0.321265
1.174999,0.112568,0.321455
1.179999,0.112778,0.321583
1.184999,0.113127,0.321776
1.190000,0.113131,0.321905
1.195000,0.113414,0.322099
1.200000,0.113593,0.322230
1.205000,0.113423,0.321092
1.210001,0.113843,0.321210
1.215001,0.114103,0.321390
1.220001,0.114274,0.321510
1.225001,0.114501,0.321691
1.230001,0.114702,0.321812
1.235002,0.114862,0.321995
1.240002,0.114923,0.322117
1.245002,0.115135,0.322302
1.250002,0.115285,0.322425
1.255003,0.115521,0.322612
1.260003,0.115723,0.322737
1.265003,0.115965,0.322925
1.270003,0.115970,0.323051
1.275004,0.116196,0.323241
1.280004,0.116255,0.323368
1.285004,0.116484,0.323560
1.290004,0.116551,0.323689
1.295004,0.116730,0.323883
1.300005,0.116763,0.324013
1.305005,0.092350,0.322873
1.310005,0.092126,0.322991
1.315005,0.092013,0.323170
1.320006,0.092002,0.323290
1.325006,0.091836,0.323471
1.330006,0.091769,0.323592
1.335006,0.091527,0.323774
1.340007,0.091371,0.323896
1.345007,0.091049,0.324080
1.350007,0.090823,0.324204
1.355007,0.090486,0.324390
1.360008,0.090282,0.324514
1.365008,0.089914,0.324702
1.370008,0.089726,0.324827
1.375008,0.089340,0.325017
1.380008,0.089119,0.325144
1.385009,0.088713,0.325335
1.390009,0.088705,0.325463
1.395009,0.088344,0.325656
1.400009,0.088203,0.325786
1.405010,0.099994,0.324645
1.410010,0.099798,0.324763
1.415010,0.099603,0.324942
1.420010,0.099536,0.325061
1.425011,0.099316,0.325242
1.430011,0.099102,0.325362
1.435011,0.098893,0.325544
1.440011,0.098740,0.325666
1.445011,0.098507,0.325850
1.450012,0.098335,0.325972
1.455012,0.098083,0.326158
1.460012,0.097905,0.326282
1.465012,0.097625,0.326469
1.470013,0.097349,0.326594
1.475013,0.097034,0.326783
1.480013,0.096780,0.326909
1.485013,0.096472,0.327100
1.490014,0.096311,0.327228
1.495014,0.095994,0.327420
1.500014,0.095825,0.327549
1.505014,0.126751,0.326408
1.510015,0.126852,0.326526
1.515015,0.126993,0.326704
1.520015,0.127122,0.326824
1.525015,0.127191,0.327003
1.530015,0.127194,0.327124
1.535016,0.127263,0.327305
1.540016,0.127305,0.327426
1.545016,0.127390,0.327609
1.550016,0.127447,0.327732
1.555017,0.127516,0.327917
1.560017,0.127475,0.328040
1.565017,0.127491,0.328227
1.570017,0.127587,0.328352
1.575018,0.127599,0.328540
1.580018,0.127520,0.328666
1.585018,0.127465,0.328855
1.590018,0.127387,0.328983
1.595019,0.127307,0.329174
1.600019,0.127384,0.329302
1.605019,0.162702,0.328163
1.610019,0.163043,0.328280
1.615019,0.163599,0.328458
1.620020,0.163962,0.328577
1.625020,0.164490,0.328756
1.630020,0.164846,0.328876
1.635020,0.165383,0.329057
1.640021,0.165748,0.329178
1.645021,0.166269,0.329360
1.650021,0.166599,0.329482
1.655021,0.167058,0.329666
1.660022,0.167270,0.329789
1.665022,0.167615,0.329975
1.670022,0.167849,0.330100
1.675022,0.168197,0.330287
1.680022,0.168528,0.330412
1.685023,0.168933,0.330601
1.690023,0.169158,0.330728
1.695023,0.169563,0.330919
1.700023,0.169870,0.331047
1.705024,0.152909,0.329908
1.710024,0.153173,0.330026
1.715024,0.153605,0.330202
1.720024,0.153904,0.330321
1.725025,0.154329,0.330500
1.730025,0.154629,0.330619
1.735025,0.155003,0.330799
1.740025,0.155254,0.330920
1.745026,0.155630,0.331102
1.750026,0.155857,0.331223
1.755026,0.156179,0.331407
1.760026,0.156381,0.331529
1.765026,0.156718,0.331714
1.770027,0.156954,0.331838
1.775027,0.157266,0.332025
1.780027,0.157489,0.332150
1.785027,0.157793,0.332338
1.790028,0.158089,0.332464
1.795028,0.158404,0.332654
1.800028,0.158525,0.332782
1.805028,0.161751,0.331645
1.810029,0.161898,0.331762
1.815029,0.162286,0.331938
1.820029,0.162501,0.332056
1.825029,0.162814,0.332234
1.830029,0.162962,0.332353
1.835030,0.163174,0.332533
1.840030,0.163314,0.332653
1.845030,0.163481,0.332834
1.850030,0.163559,0.332955
1.855031,0.163693,0.333138
1.860031,0.163809,0.333260
1.865031,0.163939,0.333445
1.870031,0.163983,0.333568
1.875032,0.164063,0.333754
1.880032,0.163992,0.333878
1.885032,0.163997,0.334066
1.890032,0.163884,0.334192
1.895033,0.163896,0.334381
1.900033,0.163857,0.334507
1.905033,0.153409,0.333373
1.910033,0.153153,0.333489
1.915033,0.153018,0.333665
1.920034,0.152920,0.333783
1.925034,0.152748,0.333960
1.930034,0.152609,0.334079
1.935034,0.152386,0.334258
1.940035,0.152237,0.334377
1.945035,0.152024,0.334558
1.950035,0.151881,0.334678
1.955035,0.151626,0.334860
1.960036,0.151424,0.334982
1.965036,0.151141,0.335166
1.970036,0.150906,0.335289
1.975036,0.150563,0.335474
1.980036,0.150165,0.335598
1.985037,0.149752,0.335785
1.990037,0.149636,0.335910
1.995037,0.149204,0.336098
2.000037,0.148722,0.336224
2.005037,0.167716,0.335092
2.010037,0.167547,0.335208
2.015036,0.167132,0.335383
2.020036,0.166818,0.335501
2.025036,0.166353,0.335677
2.030035,0.166027,0.335795
2.035035,0.165508,0.335974
2.040035,0.165159,0.336093
2.045034,0.164619,0.336272
2.050034,0.164264,0.336393
2.055033,0.163709,0.336574
2.060033,0.163313,0.336695
2.065033,0.162725,0.336878
2.070032,0.162394,0.337001
2.075032,0.161820,0.337185
2.080032,0.161505,0.337308
2.085031,0.160957,0.337494
2.090031,0.160541,0.337619
2.095031,0.159999,0.337807
2.100030,0.159717,0.337932
2.105030,0.159066,0.336803
2.110029,0.158977,0.336919
2.115029,0.158880,0.337093
2.120029,0.158870,0.337210
2.125028,0.158781,0.337386
2.130028,0.158731,0.337504
2.135028,0.158611,0.337681
2.140027,0.158516,0.337800
2.145027,0.158396,0.337979
2.150027,0.158315,0.338098
2.155026,0.158195,0.338279
2.160026,0.158125,0.338400
2.165025,0.158011,0.338582
2.170025,0.158075,0.338704
2.175025,0.158012,0.338887
2.180024,0.157843,0.339010
2.185024,0.157737,0.339196
2.190024,0.157606,0.339320
2.195023,0.157480,0.339506
2.200023,0.157612,0.339632
2.205023,0.190152,0.338505
2.210022,0.190080,0.338621
2.215022,0.190146,0.338794
2.220021,0.190207,0.338911
2.225021,0.190246,0.339086
2.230021,0.190191,0.339203
2.235020,0.190238,0.339380
2.240020,0.190253,0.339498
2.245020,0.190287,0.339676
2.250019,0.190334,0.339796
2.255019,0.190392,0.339975
2.260019,0.190500,0.340096
2.265018,0.190554,0.340277
2.270018,0.190608,0.340399
2.275017,0.190687,0.340581
2.280017,0.190668,0.340704
2.285017,0.190716,0.340888
2.290016,0.190706,0.341012
2.295016,0.190714,0.341198
2.300016,0.190848,0.341322
2.305015,0.200729,0.340200
2.310015,0.200969,0.340314
2.315015,0.201133,0.340487
2.320014,0.201285,0.340603
2.325014,0.201439,0.340778
2.330014,0.201521,0.340894
2.335013,0.201669,0.341070
2.340013,0.201763,0.341188
2.345012,0.201861,0.341366
2.350012,0.201916,0.341484
2.355012,0.201993,0.341663
2.360011,0.202054,0.341783
2.365011,0.202105,0.341964
2.370011,0.202071,0.342085
2.375010,0.202078,0.342267
2.380010,0.202141,0.342389
2.385010,0.202139,0.342572
2.390009,0.202415,0.342695
2.395009,0.202437,0.342881
